"time","lambda_p","p_delta"
46.9834740451128,0.0464467356881808,0.0464691074593295
47.1466111077694,0.0464468651589086,0.0459850016773563
47.3097481704261,0.0464469946296363,0.0455008958953832
47.4728852330827,0.0464652724105602,0.0470438232965216
47.6360222957394,0.0464875831493054,0.0490372025161293
47.799159358396,0.0465098938880506,0.051030581735737
47.9622964210526,0.0465322046267958,0.0530239609553447
48.1254334837093,0.0465863230402221,0.0540257433867253
48.2885705463659,0.0466490050583703,0.0547605574520447
48.4517076090226,0.0467116870765185,0.0554953715173642
48.6148446716792,0.0467743690946667,0.0562301855826837
48.7779817343358,0.0468444823239747,0.0564346668870623
48.9411187969925,0.0469169735408539,0.0564694417079398
49.1042558596491,0.0469894647577331,0.0565042165288174
49.2673929223058,0.0470619559746123,0.0565389913496949
49.4305299849624,0.0471116864816332,0.0551305440144151
49.5936670476191,0.0471528817224573,0.0531808883705763
49.7568041102757,0.0471940769632815,0.0512312327267375
49.9199411729323,0.0472352722041056,0.0492815770828987
50.083078235589,0.0472168793781323,0.0461287677956792
50.2462152982456,0.0471725786970297,0.0424528482287287
50.4093523609023,0.0471282780159272,0.0387769286617784
50.5724894235589,0.0470839773348246,0.0351010090948279
50.7356264862155,0.0470173316710278,0.0348010928401775
50.8987635488722,0.046939513515884,0.0361891782416771
51.0619006115288,0.0468616953607402,0.0375772636431767
51.2250376741855,0.0467838772055963,0.0389653490446763
51.3881747368421,0.0467345624618493,0.0403969208845377
51.5513117994988,0.0467015353817575,0.0418533421177488
51.7144488621554,0.0466685083016657,0.0433097633509598
51.877585924812,0.046635481221574,0.0447661845841708
52.0407229874687,0.0466115314071911,0.0450094398400985
52.2038600501253,0.0465934818155189,0.044464137210792
52.366997112782,0.0465754322238468,0.0439188345814855
52.5301341754386,0.0465573826321746,0.043373531952179
52.6932712380952,0.0465297404141003,0.0427732466383834
52.8564083007519,0.0464950299449929,0.0421324477675959
53.0195453634085,0.0464603194758854,0.0414916488968084
53.1826824260652,0.0464256090067779,0.0408508500260209
53.3458194887218,0.0463950503171658,0.0411444965921252
53.5089565513785,0.0463679514437998,0.0422168476889727
53.6720936140351,0.0463408525704338,0.0432891987858201
53.8352306766917,0.0463137536970679,0.0443615498826676
53.9983677393484,0.0463082402589849,0.0457633495835154
54.161504802005,0.0463230425246976,0.0474752185587164
54.3246418646617,0.0463378447904104,0.0491870875339174
54.4877789273183,0.0463526470561232,0.0508989565091184
54.650915989975,0.0463780429751633,0.0516651349291467
54.8140530526316,0.0464146946508639,0.0514265171343041
54.9771901152882,0.0464513463265644,0.0511878993394615
55.1403271779449,0.046487998002265,0.0509492815446189
55.3034642406015,0.0465204567453829,0.0506589437009791
55.4666013032582,0.0465478839694015,0.0503065417987829
55.6297383659148,0.0465753111934202,0.0499541398965867
55.7928754285714,0.0466027384174389,0.0496017379943904
55.9560124912281,0.0466383388791969,0.050120701039822
56.1191495538847,0.0466850315921724,0.0518222307998913
56.2822866165414,0.0467317243051479,0.0535237605599607
56.445423679198,0.0467784170181234,0.05522529032003
56.6085607418546,0.0468403942725306,0.0566237810135733
56.7716978045113,0.0469258862060633,0.0575560577586148
56.9348348671679,0.0470113781395961,0.0584883345036564
57.0979719298246,0.0470968700731289,0.059420611248698
57.2611089924812,0.0471914550039391,0.0603317718777921
57.4242460551379,0.0473019526799848,0.0612059793039783
57.5873831177945,0.0474124503560305,0.0620801867301644
57.7505201804511,0.0475229480320762,0.0629543941563505
57.9136572431078,0.0476247172225067,0.0627363103919001
58.0767943057644,0.0477090294417066,0.0603336442461766
58.2399313684211,0.0477933416609065,0.0579309781004532
58.4030684310777,0.0478776538801064,0.0555283119547297
58.5662054937343,0.0479324406749451,0.0526969719283363
58.729342556391,0.0479193189937529,0.0488796819764013
58.8924796190476,0.0479061973125607,0.0450623920244666
59.0556166817043,0.0478930756313685,0.0412451020725317
59.2187537443609,0.0478632246268278,0.0384261559604753
59.3818908070176,0.0477887620933577,0.0382694600880947
59.5450278696742,0.0477142995598876,0.038112764215714
59.7081649323308,0.0476398370264175,0.0379560683433334
59.8713019949875,0.0475627428079665,0.0376572689053158
60.0344390576441,0.0474774245739502,0.0369143958246828
60.1975761203008,0.0473921063399339,0.0361715227440497
60.3607131829574,0.0473067881059176,0.0354286496634167
60.523850245614,0.0472223591815657,0.0350164594945703
60.6869873082707,0.0471412334073959,0.0358325201409315
60.8501243709273,0.0470601076332262,0.0366485807872927
61.013261433584,0.0469789818590565,0.0374646414336539
61.1763984962406,0.0469027044442741,0.038273875817904
61.3395355588973,0.0468482446467351,0.0390523920226542
61.5026726215539,0.0467937848491961,0.0398309082274043
61.6658096842105,0.0467393250516571,0.0406094244321545
61.8289467468672,0.0466861362394949,0.0412135365481619
61.9920838095238,0.0466400649454423,0.0408409857672101
62.1552208721805,0.0465939936513897,0.0404684349862583
62.3183579348371,0.0465479223573371,0.0400958842053065
62.4814949974937,0.0465025362748193,0.0398505566281349
62.6446320601504,0.0464621179759286,0.0405275972783695
62.807769122807,0.0464216996770378,0.0412046379286042
62.9709061854637,0.0463812813781471,0.0418816785788389
63.1340432481203,0.0463403800483429,0.0423935027919414
63.297180310777,0.0462946484094045,0.0412531626337225
63.4603173734336,0.046248916770466,0.0401128224755036
63.6234544360902,0.0462031851315276,0.0389724823172848
63.7865914987469,0.0461561320961717,0.0378725703867712
63.9497285614035,0.0460885974163457,0.0373992959856894
64.1128656240602,0.0460210627365197,0.0369260215846076
64.2760026867168,0.0459535280566937,0.0364527471835258
64.4391397493734,0.0458866674132154,0.0360494169221832
64.6022768120301,0.0458413759328641,0.0378842991324994
64.7654138746867,0.0457960844525129,0.0397191813428156
64.9285509373434,0.0457507929721616,0.0415540635531318
65.091688,0.0457055014918104,0.0433889457634478
